                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4549,                  5.047,                 4.1991,                      0,                      0,                      0,                      0,                 5.7949,                 5.0005,                  4.159,                      0,                      0,                      0
                      2,                 5.2237,                 4.9616,                 4.2412,                      0,                      0,                      0,                      0,                 5.7989,                 5.0005,                  4.159,              1.612e-05,              1.612e-05,              1.612e-05
                      3,                 5.9003,                 4.8992,                 4.3883,                      0,                      0,                      0,                      0,                 5.8023,                 5.0005,                  4.159,              3.114e-05,              3.114e-05,              3.114e-05
                      4,                 5.5859,                 5.0468,                 4.1715,                      0,                      0,                      0,                      0,                 5.8056,                 5.0005,                  4.159,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      5,                 6.2623,                 4.9588,                 4.2371,                      0,                      0,                      0,                      0,                 5.8091,                 5.0005,                 4.1585,             5.7878e-05,             5.7878e-05,             5.7878e-05
                      6,                 6.4638,                 5.0135,                 4.1299,                      0,                      0,                      0,                      0,                 5.8122,                 5.0005,                 4.1584,             6.9597e-05,             6.9597e-05,             6.9597e-05
                      7,                 6.1273,                 4.5475,                 4.1735,                      0,                      0,                      0,                      0,                 5.8155,                 5.0005,                 4.1584,             8.0216e-05,             8.0216e-05,             8.0216e-05
                      8,                 5.5253,                 4.9961,                 4.1545,                      0,                      0,                      0,                      0,                 5.8192,                 5.0005,                 4.1585,             8.9735e-05,             8.9735e-05,             8.9735e-05
                      9,                 5.5025,                 4.7802,                 4.2447,                      0,                      0,                      0,                      0,                 5.8227,                 5.0005,                 4.1582,             9.8153e-05,             9.8153e-05,             9.8153e-05
                     10,                  5.643,                  4.883,                 4.2905,                      0,                      0,                      0,                      0,                 5.8259,                 5.0003,                 4.1582,             0.00010547,             0.00010547,             0.00010547
                     11,                 5.9992,                 4.7607,                 4.0018,                      0,                      0,                      0,                      0,                  5.829,                 5.0008,                 4.1582,             0.00011169,             0.00011169,             0.00011169
                     12,                 7.1534,                 4.7256,                 4.0123,                      0,                      0,                      0,                      0,                 5.8317,                 5.0008,                 4.1582,             0.00011681,             0.00011681,             0.00011681
                     13,                 6.5175,                 4.7872,                 4.0882,                      0,                      0,                      0,                      0,                 5.8294,                 5.0006,                 4.1574,             0.00012082,             0.00012082,             0.00012082
                     14,                 5.6665,                 5.0118,                 4.1133,                      0,                      0,                      0,                      0,                 5.8325,                 5.0006,                 4.1573,             0.00012374,             0.00012374,             0.00012374
                     15,                 5.2047,                 4.4338,                 3.9373,                      0,                      0,                      0,                      0,                 5.8413,                 5.0008,                 4.1573,             0.00012556,             0.00012556,             0.00012556
                     16,                 6.3938,                 4.6807,                 4.0267,                      0,                      0,                      0,                      0,                 5.8393,                 5.0003,                 4.1572,             0.00012628,             0.00012628,             0.00012628
                     17,                 4.6592,                 5.0809,                 4.1717,                      0,                      0,                      0,                      0,                 5.8429,                 5.0003,                  4.157,             0.00012589,             0.00012589,             0.00012589
                     18,                  5.275,                 4.6448,                 4.1557,                      0,                      0,                      0,                      0,                 5.8461,                 5.0003,                  4.157,             0.00012441,             0.00012441,             0.00012441
                     19,                 5.6325,                 4.3795,                 4.3441,                      0,                      0,                      0,                      0,                 5.8367,                 4.9997,                 4.1567,             0.00012182,             0.00012182,             0.00012182
                     20,                 5.4043,                 4.3019,                 3.8947,                      0,                      0,                      0,                      0,                 5.8399,                 4.9997,                 4.1567,             0.00011814,             0.00011814,             0.00011814
                     21,                 4.7412,                 4.9265,                 4.0262,                      0,                      0,                      0,                      0,                 5.8559,                 5.0002,                 4.1565,             0.00011336,             0.00011336,             0.00011336
                     22,                 5.8648,                 5.1479,                 4.1265,                      0,                      0,                      0,                      0,                 5.8586,                 5.0002,                 4.1565,             0.00010747,             0.00010747,             0.00010747
                     23,                 5.0702,                 4.9289,                 4.0903,                      0,                      0,                      0,                      0,                 5.8617,                 5.0002,                  4.156,             0.00010049,             0.00010049,             0.00010049
                     24,                 6.1895,                 5.1011,                  4.071,                      0,                      0,                      0,                      0,                 5.8643,                 5.0002,                  4.156,             9.2402e-05,             9.2402e-05,             9.2402e-05
                     25,                 6.3395,                 5.0591,                 4.2111,                      0,                      0,                      0,                      0,                 5.8711,                 4.9977,                 4.1555,             8.3217e-05,             8.3217e-05,             8.3217e-05
                     26,                 5.7534,                 5.0038,                 4.0579,                      0,                      0,                      0,                      0,                 5.8737,                 4.9977,                 4.1555,             7.2931e-05,             7.2931e-05,             7.2931e-05
                     27,                 6.4115,                 4.8829,                 4.2098,                      0,                      0,                      0,                      0,                 5.8709,                 4.9887,                 4.1553,             6.1546e-05,             6.1546e-05,             6.1546e-05
                     28,                 5.9222,                 5.1051,                  4.102,                      0,                      0,                      0,                      0,                 5.8734,                 4.9887,                 4.1553,              4.906e-05,              4.906e-05,              4.906e-05
                     29,                 6.2183,                 5.1064,                 4.0435,                      0,                      0,                      0,                      0,                 5.8758,                 4.9887,                 4.1556,             3.5474e-05,             3.5474e-05,             3.5474e-05
                     30,                 5.7528,                 5.0088,                 4.0492,                      0,                      0,                      0,                      0,                 5.8783,                 4.9887,                 4.1556,             2.0787e-05,             2.0787e-05,             2.0787e-05
